effective_date,signal_date,risk_on,leaders,turnover,transaction_cost,weights
2023-05-22,2023-05-19,True,"FEZ,EWW,XHB,EWI,EWQ",0.4,0.0002,"{'EWI': 0.2, 'EWQ': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'SGOV': 0.0, 'XHB': 0.2}"
2023-05-30,2023-05-26,True,"FEZ,XHB,EWW,XBI,EWI",0.2,0.0001,"{'EWI': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'SGOV': 0.0, 'XBI': 0.2, 'XHB': 0.2}"
2023-06-05,2023-06-02,True,"XBI,EWW,FEZ,IBB,XHB",0.2,0.0001,"{'EWW': 0.2, 'FEZ': 0.2, 'IBB': 0.2, 'SGOV': 0.0, 'XBI': 0.2, 'XHB': 0.2}"
2023-06-12,2023-06-09,True,"EWW,FEZ,XBI,XHB,EWI",0.2,0.0001,"{'EWI': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'SGOV': 0.0, 'XBI': 0.2, 'XHB': 0.2}"
2023-06-20,2023-06-16,True,"EWW,FEZ,XHB,XBI,EWI",0.0,0.0,"{'EWI': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'SGOV': 0.0, 'XBI': 0.2, 'XHB': 0.2}"
2023-06-26,2023-06-23,True,"XHB,FEZ,EWW,EWI,EWQ",0.2,0.0001,"{'EWI': 0.2, 'EWQ': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'SGOV': 0.0, 'XHB': 0.2}"
2023-07-03,2023-06-30,True,"EWW,FEZ,EWI,XHB,PAVE",0.2,0.0001,"{'EWI': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'PAVE': 0.2, 'SGOV': 0.0, 'XHB': 0.2}"
2023-07-10,2023-07-07,True,"EWW,EWI,FEZ,ECH,XHB",0.2,0.0001,"{'ECH': 0.2, 'EWI': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'SGOV': 0.0, 'XHB': 0.2}"
2023-07-17,2023-07-14,True,"EWW,FEZ,ECH,EWI,PAVE",0.2,0.0001,"{'ECH': 0.2, 'EWI': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'PAVE': 0.2, 'SGOV': 0.0}"
2023-07-24,2023-07-21,True,"EWI,EWW,FEZ,EWP,PAVE",0.2,0.0001,"{'EWI': 0.2, 'EWP': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'PAVE': 0.2, 'SGOV': 0.0}"
